Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10,Period_11,Period_12,Period_13,Period_14,Period_15,Period_16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,0,0,0,0,0,4,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,4.5,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,,,,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,,5,0,0,0,0,0,0,0,0,0
,,,,,,,,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,6,0,0,0,0,0,0,0
,,,,,,,,,,,0,6,0,0,0
,,,,,,,,,,,,6,0,0,0
,,,,,,,,,,,,0,6,0,0
,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,6
0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,7.5,0
,,,,,,,,,,,,,,,7.8
0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0
,,,,,,,,0,8.5,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0
4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
,,,,,,0,4.5,0,0,4.5,0,0,0,0,0
0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,10,0,0,0,0,0,0,0,0,0,0
,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,10,0,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,10,0,0
,,,,,,,,,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
,,,,,,,,,,,,,,,12
,,,0,5,0,0,0,0,8.5,0,0,0,0,0,0
6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,14.5,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,15.6,0
,,,,,,,,0,0,0,0,0,0,15.8,0
0,0,5,0,0,0,0,0,0,0,0,0,6,0,5,0
0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,5
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,16,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,0,0,6,0,0,5,5
0,0,0,0,0,0,0,0,8.5,8.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13.05,0,0,4
,,,,,,,,,,,,,,17.3,0
0,0,6,0,0,0,2.5,0,0,0,0,0,9,0,0,0
,,,,,,,,,17.5,0,0,0,0,0,0
12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,18,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,12,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3
,,,,,,,,,0,0,0,7.47,11.27,0,0
0,0,0,0,0,3,0,0,3,0,0,13,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13.5,6,0,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,16.5,5,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,0,6,16.5,0
,,,,,,,,,,,,,22.5,0,0
11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,17,0,6,0,0,0,0,0
,,,,,,,,,,,,,,,23.75
0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,24.48,0,0
0,4.5,0,0,0,0,0,0,15,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,25,0,0,0,0
,,,,,,,,0,0,0,0,0,0,25,0
,,,,,,,,,,,,,,,25
0,0,0,0,0,25.15,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0
,,,,,,5,0,0,5,0,6,0,0,10,0
,,,,,,,,,,,0,20,6,0,0
,,,,,,,,,,,,,,4.5,22
0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,27.5,0,0
,,,,,,0,29,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,29,0,0
0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,29.5
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,30,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,30,0,0,0,0,0
,,,,,,,,6,6,0,6,0,0,12,0
,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,24,7.8
0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,32,0,0,0,0
22.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,33,0,0
,,,,,,,,,5,0,0,6,0,7.5,15
4.5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,34.8,0
12,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,35,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,35.6,0,0,0,0,0,0
0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,6,6,0,12,0,0,0,6,0,0
0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,29,0
0,0,0,0,0,0,0,38.5,0,0,0,0,0,0,0,0
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
,,,,,,0,0,0,39,0,0,0,0,0,0
,,,,,,,,0,0,0,0,39,0,0,0
,,,,,,,,0,0,0,0,39,0,0,0
,,,,,39.78,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,40,0
7.5,0,0,0,0,0,0,0,20,0,0,0,3,10,0,0
21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,8,0,0,0,0,0,0,0,0,0,0,0,30,0
25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,0,17.5,0,10,0,0,0,0,0,0,0
0,0,10,0,0,0,4,16,4,7.5,0,0,0,0,0,0
,,,,,,,,,,,,,41.75,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,32.95,0
,,,,,0,9,0,5,6,0,0,5,0,0,18
,,,,,,,,,,,,,40,3,0
10,15,0,0,0,0,0,0,0,0,2.5,8,0,0,7.8,0
0,0,0,0,0,0,0,43.6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,29.5,8.5,3,0,3,0,0,0
,,,,,,,,0,0,44.5,0,0,0,0,0
,,,,,,,,9.5,0,6,0,0,0,0,29
0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
29,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
0,10,25,0,12,0,0,0,0,0,0,0,0,0,0,0
0,0,22,0,6,20,0,0,0,0,0,0,0,0,0,0
,,,,,20,11,6,11,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0
29,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,4.5,4.59,0,40
0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,0,0,0,50,0,0
,,,,,,,,,,,10,0,0,40,0
,,,,,,,,,,,,,,,50
0,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,45,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,6,6,30,10
0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,0,0,0,0,0,0,0,0,0,0,0,53.5
,,,,,,,,0,0,0,0,54.5,0,0,0
,,,,,,,,,,,,,54.5,0,0
,,,,,,,,,,,,,,16,39
0,0,5,0,0,0,51,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,34.5,23,0
,,,,,,,,,,,,,,,58.8
24,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,59,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,4.5,0,0,0,0,0,0,0,25,0,0
0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,20
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,40,5,10,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,60,0,0
,,,,,,,,,0,0,0,0,60,0,0
,,,,,,,,,,,,60,0,0,0
,,,,,,,,,,,,,,,60
0,0,0,0,12,12,0,0,6,0,0,0,0,31.75,0,0
0,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,22.5,0,0,39.6,0,0,0,0,0,0,0,0
0,5,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0
0,3,33,0,0,0,0,0,18,0,0,0,6,0,3,0
24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
0,0,0,0,0,4.5,0,0,0,0,0,0,60,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,15,30,0,15
,,,,,,,,,,,,,11,3,51.8
,,,,,,,,,,,,0,0,55.8,12
58,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,29,0,0,0,0,0,0,39,0,0,0,0,0,0
,,,,,,,,11,5,10,32,0,10,0,0
,,,,,,,,,,,,,0,60,8
9.5,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0
,,,,,68.5,0,0,0,0,0,0,0,0,0,0
54.1,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,0,0,0,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5
0,0,0,0,0,0,0,0,35,0,0,0,0,0,34.5,0
0,46.5,0,0,0,23,0,0,0,0,0,0,0,0,0,0
0,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,40,20,0,0,0
5,0,0,0,12,0,0,28,0,0,0,0,25,0,0,0
,,,,,,,,,,,,,,,70
0,0,0,0,70.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,49
,,,,,,,,,,,,,80.4,-6,0
0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0
0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,71.5,4.5,0,0,0,0,0,0,0,0,0,0
,,,,,0,15,0,17,45.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,0,6,72,0
,,,,,,,,17,5,0,0,56.5,0,0,0
0,0,0,0,0,0,29,0,0,0,0,0,0,50,0,0
,,,,,,,,,,,,,,79.3,0
0,5,0,0,45,0,0,0,0,0,0,15,0,0,15,0
,,,,,,,,0,0,0,0,0,0,0,80
0,0,0,0,80.1,0,0,0,0,0,0,0,0,0,0,0
0,0,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,18,0,0,0,0,0,0,0,0,0,0,39.78,0,0
,,,,,,,,,0,0,48,25,10,0,0
43.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,14.5,0,14,6,0,0,20.5,0,25.5,0,0
0,39,0,0,0,0,0,0,0,0,0,0,0,0,45,0
0,24,5,0,40,0,0,0,5,5,0,5,0,0,0,0
,,,,,5,6,5,23,45,0,0,0,0,0,0
,,,,,,,,0,39,0,0,40,5,0,0
,,,,,,0,82.5,0,2.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,86.7,0,0
24,28.5,9,0,0,25.5,0,0,0,0,0,0,0,0,0,0
0,0,66,0,13,5,3,0,0,0,0,0,0,0,0,0
,,,,,0,87.2,0,0,0,0,0,0,0,0,0
0,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,14.5,0,0,0,0,0,5,42.5,6,5,3,3,0,0
0,0,0,0,0,29,0,40,0,0,0,20,0,0,0,0
,,,,,,,,,,,,,10.8,63.46,15
3,0,0,0,0,0,0,0,0,0,0,86.4,0,0,0,0
11,0,20,0,0,0,11,0,5,42.5,0,0,0,0,0,0
,,,,,26.5,21.5,11,10.5,20,0,0,0,0,0,0
40,5,15,0,20,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,90,0,0,0
,,,,,,,,31,0,59,0,0,0,0,0
10,3,0,0,0,10,34,12,0,16,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,76.5,5,0,10,0,0,0
,,,,,91.5,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,6,6,0,80,0
,,,,,,,,,,,,31,6,55.94,0
0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,6,0,76,12,0,0,0,0
,,,,,,,,,70,0,6,0,12,0,6
,,,,,,,,0,0,0,0,94.5,0,0,0
0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,96,0
0,0,39,0,42,0,5,0,6,4.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,25,10,10,25,23
29,0,0,0,10,59.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,98.95,0,0,0
0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,79,0,20,0
,,,,,,,,0,40,0,44,15,0,0,0
0,0,0,0,0,0,0,0,0,18,42,40,0,0,0,0
0,29,0,0,0,0,0,0,0,0,0,18,16,27,0,10
25,5,37.5,0,0,0,10,0,0,0,0,7.5,0,0,15,0
0,0,30,0,0,60,0,0,0,0,0,0,0,10,0,0
,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,0,100,0,0,0,0
0,100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,5,0,5,45,0,4.5,0,32,0,0,0,0
,,,,,,,,,0,82.5,10.5,5,3,0,0
,,,,,,,,0,0,9,0,33.75,58.46,0,0
0,0,34,0,0,0,0,0,39,29,0,0,0,0,0,0
,,,,,,5,8,30,13.5,40.5,5,0,0,0,0
,,,,,0,0,5,66.3,19.75,0,6,0,0,6,0
,104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,40,0,0,0,0,0,0,60
0,0,70,0,35,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,10,95,0
,,,,,,,,,,,,,,,105
,,,,,,,,14.5,34,14.5,6,18.8,19.8,0,0
,,,,,108,0,0,0,0,0,0,0,0,0,0
0,99,0,0,0,0,0,0,0,0,0,0,0,10,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,106,3
0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0
,,,,,,,,,,,,0,0,91,20
,,,,,,,,,,,,,,11,100
0,109,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,18,0,30,6,15,37,6
0,0,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0
44,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,47,0,22,0,40,0,0,0,0,0,0,0,0,0
,,,,,0,0,10,17,87.5,0,0,0,0,0,0
,,,,,,0,119.4,-25,0,0,0,0,0,20.4,0
0,25,65,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0
0,0,29,0,0,3,0,0,0,40,0,0,3,40,0,0
,,,,,,30,0,0,0,85,0,0,0,0,0
0,0,0,0,87,-29,6,10,10,0,0,0,20,0,0,12
,,,0,20,96,0,0,0,0,0,0,0,0,0,0
0,0,0,0,116.1,0,0,0,0,0,0,0,0,0,0,0
0,0,20,0,15,0,63.6,17.5,0,0,0,0,0,0,0,0
,,,0,5,5,5,86.6,10,0,5,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,117.5,0,0,0
0,10,0,0,0,109,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,0,0,36,5,12,0,0,0,12,0,0,15,0,0
,,,,,,50,0,0,70,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,120.8,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,0,0,0,0,0,0,0,0,106,15,0,0
,,,,,,,,,,,,,,121,0
0,0,0,0,106.1,13,0,2.5,0,0,0,0,0,0,0,0
9,61.5,19,0,5,0,13.5,5.5,4.5,4.5,0,0,0,0,0,0
,,,,,,,,0,0,11,12,59.75,40,0,0
21.2,102.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,84,0,0,0,0,0,0,30,0,0,0,0,0,10,0
0,95,29,0,0,0,0,0,0,0,0,0,0,0,0,0
0,124.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,0,0,0,4.5,115.97,0,4.5
,,,,,,0,80,45,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,45,0,0,0,0,0,80.5,0
,,,,,,,,,,,,0,126,0,0
17.5,20,0,0,69.5,0,0,6,3,0,0,0,0,0,0,11.25
107.5,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0
82.5,20,15,0,10,0,0,0,0,0,0,0,0,0,0,0
0,0,106.5,0,12.5,10,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,90,0,0,0,40,0,0,0
,,,0,130,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,60,40,30,0,0,0
0,0,0,0,0,0,0,23,5,0,0,93.5,6,3,0,0
,,,,131,0,0,0,0,0,0,0,0,0,0,0
0,5,60.5,0,67,0,0,0,0,0,0,0,0,0,0,0
0,33,0,0,0,0,0,0,0,0,0,0,0,101.44,0,0
0,119.5,0,0,5,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,30,100,0,0
20,0,0,0,0,0,0,4,0,5,0,6,0,0,100.5,0
,,,,,,,,5,5,0,0,34.5,52,39,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,136.68,0,0,0,0,0,0
129,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,138.5,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,0,100,0,5,3,30.5
,,,,,,,,,,,,,,,138.8
0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,74.5,0,0,65,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,15,0,5,0,100,0,15,0
0,0,112.25,0,0,0,29,0,0,0,0,0,0,0,0,0
119,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,30,0,0,0,20,0,12.5,0,0,0,0,26,6,20,10
85,0,0,0,45,0,0,0,15,0,0,0,0,0,0,0
44.5,81,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,82,65,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,0,80,47.8,20
,,,,,0,0,160,-60,0,0,0,0,0,13.8,35
39,0,0,0,0,0,75,0,10,0,15,10,0,0,0,0
,,,,,,,,,6,6,5,13,32,74,13
0,15,4.5,0,0,0,45,0,0,5,0,0,0,80,0,0
,,,,,,,,,,,,,,115.3,34.5
